                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 1  *
 180.00  5.280  3.04E+27 2.65E+26 5.16E+27 2.17E+24 6.40E+24 1.03E+25 1.38E+25 1.66E+25 1.87E+25 2.00E+25 2.05E+25 2.04E+25 1.97E+25 1.85E+25 1.69E+25 1.51E+25 1.31E+25 1.12E+25 9.36E+24 7.66E+24 6.14E+24 4.83E+24 3.72E+24 2.82E+24 2.09E+24 1.53E+24 1.09E+24 7.67E+23 5.29E+23 3.59E+23 2.39E+23 1.56E+23 1.00E+23
 190.00  5.425  2.24E+28 1.93E+27 3.82E+28 1.54E+25 4.55E+25 7.35E+25 9.81E+25 1.18E+26 1.34E+26 1.43E+26 1.48E+26 1.47E+26 1.43E+26 1.34E+26 1.24E+26 1.11E+26 9.72E+25 8.35E+25 7.02E+25 5.79E+25 4.68E+25 3.71E+25 2.88E+25 2.20E+25 1.65E+25 1.22E+25 8.79E+24 6.24E+24 4.36E+24 2.99E+24 2.01E+24 1.33E+24 8.68E+23
 200.00  5.566  1.57E+29 1.34E+28 2.69E+29 1.04E+26 3.08E+26 4.98E+26 6.65E+26 8.04E+26 9.09E+26 9.78E+26 1.01E+27 1.01E+27 9.84E+26 9.31E+26 8.59E+26 7.74E+26 6.83E+26 5.90E+26 4.99E+26 4.14E+26 3.37E+26 2.69E+26 2.11E+26 1.63E+26 1.23E+26 9.14E+25 6.67E+25 4.78E+25 3.37E+25 2.34E+25 1.59E+25 1.07E+25 7.04E+24

                    ************************************************************************************************
                    *  Z= 28 A= 60: Negative-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.197  3.50E-01 1.40E+00 6.60E+00 1.91E-01 4.32E-01 4.09E-01 2.45E-01 1.02E-01 3.02E-02 6.55E-03 1.04E-03 1.23E-04 1.08E-05 7.06E-07 3.45E-08 1.26E-09 3.44E-11 7.05E-13 1.08E-14 1.25E-16 1.08E-18 7.05E-21 3.45E-23 1.27E-25 3.51E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.278  7.59E-01 1.63E+00 7.70E+00 2.23E-01 5.04E-01 4.77E-01 2.86E-01 1.19E-01 3.53E-02 7.64E-03 1.22E-03 1.44E-04 1.26E-05 8.24E-07 4.02E-08 1.47E-09 4.02E-11 8.23E-13 1.27E-14 1.46E-16 1.26E-18 8.23E-21 4.03E-23 1.48E-25 4.09E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.341  1.24E+00 1.91E+00 8.99E+00 2.60E-01 5.89E-01 5.57E-01 3.34E-01 1.39E-01 4.12E-02 8.92E-03 1.42E-03 1.68E-04 1.47E-05 9.62E-07 4.69E-08 1.71E-09 4.69E-11 9.61E-13 1.48E-14 1.70E-16 1.48E-18 9.61E-21 4.70E-23 1.73E-25 4.78E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.394  1.79E+00 2.23E+00 1.05E+01 3.04E-01 6.87E-01 6.50E-01 3.90E-01 1.62E-01 4.81E-02 1.04E-02 1.66E-03 1.96E-04 1.72E-05 1.12E-06 5.48E-08 2.00E-09 5.47E-11 1.12E-12 1.72E-14 1.99E-16 1.72E-18 1.12E-20 5.49E-23 2.02E-25 5.58E-28 1.16E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.440  2.44E+00 2.60E+00 1.22E+01 3.55E-01 8.02E-01 7.59E-01 4.55E-01 1.89E-01 5.61E-02 1.21E-02 1.94E-03 2.28E-04 2.00E-05 1.31E-06 6.39E-08 2.33E-09 6.38E-11 1.31E-12 2.01E-14 2.32E-16 2.01E-18 1.31E-20 6.40E-23 2.35E-25 6.51E-28 1.35E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.482  3.20E+00 3.03E+00 1.43E+01 4.14E-01 9.36E-01 8.86E-01 5.31E-01 2.20E-01 6.55E-02 1.42E-02 2.26E-03 2.67E-04 2.34E-05 1.53E-06 7.46E-08 2.72E-09 7.45E-11 1.53E-12 2.35E-14 2.71E-16 2.35E-18 1.53E-20 7.47E-23 2.75E-25 7.59E-28 1.58E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.521  4.08E+00 3.54E+00 1.67E+01 4.83E-01 1.09E+00 1.03E+00 6.20E-01 2.57E-01 7.64E-02 1.65E-02 2.64E-03 3.11E-04 2.73E-05 1.78E-06 8.71E-08 3.18E-09 8.70E-11 1.78E-12 2.74E-14 3.16E-16 2.74E-18 1.78E-20 8.72E-23 3.21E-25 8.86E-28 1.84E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.557  5.12E+00 4.13E+00 1.95E+01 5.64E-01 1.27E+00 1.21E+00 7.23E-01 3.00E-01 8.92E-02 1.93E-02 3.08E-03 3.63E-04 3.19E-05 2.08E-06 1.02E-07 3.71E-09 1.01E-10 2.08E-12 3.20E-14 3.69E-16 3.20E-18 2.08E-20 1.02E-22 3.74E-25 1.03E-27 2.15E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.590  6.32E+00 4.82E+00 2.27E+01 6.58E-01 1.49E+00 1.41E+00 8.44E-01 3.50E-01 1.04E-01 2.25E-02 3.59E-03 4.24E-04 3.72E-05 2.43E-06 1.19E-07 4.33E-09 1.18E-10 2.43E-12 3.73E-14 4.31E-16 3.73E-18 2.43E-20 1.19E-22 4.37E-25 1.21E-27 2.51E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.622  7.73E+00 5.63E+00 2.65E+01 7.68E-01 1.74E+00 1.64E+00 9.85E-01 4.09E-01 1.21E-01 2.63E-02 4.19E-03 4.95E-04 4.34E-05 2.84E-06 1.38E-07 5.06E-09 1.38E-10 2.83E-12 4.36E-14 5.03E-16 4.35E-18 2.83E-20 1.39E-22 5.10E-25 1.41E-27 2.93E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.653  9.37E+00 6.57E+00 3.09E+01 8.96E-01 2.03E+00 1.92E+00 1.15E+00 4.77E-01 1.42E-01 3.07E-02 4.89E-03 5.77E-04 5.06E-05 3.31E-06 1.62E-07 5.90E-09 1.61E-10 3.31E-12 5.08E-14 5.87E-16 5.08E-18 3.31E-20 1.62E-22 5.95E-25 1.64E-27 3.42E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.682  1.13E+01 7.66E+00 3.61E+01 1.05E+00 2.36E+00 2.24E+00 1.34E+00 5.57E-01 1.65E-01 3.58E-02 5.71E-03 6.74E-04 5.91E-05 3.86E-06 1.89E-07 6.89E-09 1.88E-10 3.86E-12 5.93E-14 6.85E-16 5.93E-18 3.86E-20 1.89E-22 6.94E-25 1.92E-27 3.99E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.709  1.35E+01 8.94E+00 4.22E+01 1.22E+00 2.76E+00 2.61E+00 1.57E+00 6.50E-01 1.93E-01 4.18E-02 6.67E-03 7.87E-04 6.90E-05 4.51E-06 2.20E-07 8.04E-09 2.20E-10 4.50E-12 6.92E-14 7.99E-16 6.92E-18 4.51E-20 2.20E-22 8.10E-25 2.24E-27 4.66E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.736  1.61E+01 1.04E+01 4.92E+01 1.42E+00 3.22E+00 3.05E+00 1.83E+00 7.58E-01 2.25E-01 4.88E-02 7.78E-03 9.18E-04 8.05E-05 5.26E-06 2.57E-07 9.38E-09 2.57E-10 5.26E-12 8.08E-14 9.33E-16 8.08E-18 5.26E-20 2.57E-22 9.46E-25 2.61E-27 5.44E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.762  1.92E+01 1.22E+01 5.81E+01 1.63E+00 3.70E+00 3.55E+00 2.17E+00 9.24E-01 2.84E-01 6.39E-02 1.07E-02 1.32E-03 1.23E-04 8.59E-06 4.51E-07 1.78E-08 5.30E-10 1.19E-11 2.02E-13 2.58E-15 2.50E-17 1.83E-19 1.01E-21 4.24E-24 1.34E-26 3.22E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.787  2.27E+01 1.42E+01 6.99E+01 1.79E+00 4.14E+00 4.10E+00 2.63E+00 1.20E+00 3.98E-01 9.88E-02 1.85E-02 2.61E-03 2.81E-04 2.31E-05 1.45E-06 6.93E-08 2.55E-09 7.17E-11 1.55E-12 2.57E-14 3.28E-16 3.21E-18 2.42E-20 1.40E-22 6.24E-25 2.14E-27 5.63E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.811  2.69E+01 1.66E+01 8.39E+01 1.98E+00 4.64E+00 4.73E+00 3.17E+00 1.52E+00 5.46E-01 1.48E-01 3.05E-02 4.85E-03 5.94E-04 5.62E-05 4.13E-06 2.35E-07 1.04E-08 3.59E-10 9.64E-12 2.01E-13 3.28E-15 4.16E-17 4.12E-19 3.18E-21 1.92E-23 9.03E-26 3.31E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.835  3.17E+01 1.94E+01 1.01E+02 2.19E+00 5.20E+00 5.45E+00 3.79E+00 1.92E+00 7.33E-01 2.14E-01 4.85E-02 8.54E-03 1.17E-03 1.27E-04 1.07E-05 7.13E-07 3.73E-08 1.54E-09 5.01E-11 1.29E-12 2.61E-14 4.18E-16 5.29E-18 5.28E-20 4.18E-22 2.61E-24 1.29E-26 5.03E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.858  3.74E+01 2.26E+01 1.20E+02 2.43E+00 5.85E+00 6.26E+00 4.51E+00 2.40E+00 9.69E-01 3.04E-01 7.45E-02 1.44E-02 2.20E-03 2.66E-04 2.56E-05 1.96E-06 1.19E-07 5.79E-09 2.24E-10 6.93E-12 1.71E-13 3.38E-15 5.33E-17 6.71E-19 6.77E-21 5.46E-23 3.52E-25 1.82E-27 7.51E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.880  4.40E+01 2.64E+01 1.44E+02 2.71E+00 6.58E+00 7.19E+00 5.35E+00 2.96E+00 1.26E+00 4.22E-01 1.11E-01 2.34E-02 3.93E-03 5.28E-04 5.70E-05 4.94E-06 3.45E-07 1.94E-08 8.80E-10 3.22E-11 9.50E-13 2.27E-14 4.36E-16 6.78E-18 8.53E-20 8.66E-22 7.11E-24 4.72E-26 2.54E-28 1.10E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.923  6.19E+01 3.59E+01 2.05E+02 3.37E+00 8.35E+00 9.47E+00 7.45E+00 4.44E+00 2.07E+00 7.72E-01 2.32E-01 5.63E-02 1.11E-02 1.80E-03 2.37E-04 2.56E-05 2.27E-06 1.65E-07 9.83E-09 4.82E-10 1.94E-11 6.43E-13 1.75E-14 3.93E-16 7.24E-18 1.10E-19 1.38E-21 1.42E-23 1.20E-25 8.39E-28 4.83E-30 1.00E-30 1.00E-30
   6.00  0.964  8.64E+01 4.89E+01 2.92E+02 4.24E+00 1.07E+01 1.25E+01 1.03E+01 6.49E+00 3.28E+00 1.34E+00 4.47E-01 1.23E-01 2.79E-02 5.25E-03 8.21E-04 1.07E-04 1.15E-05 1.04E-06 7.80E-08 4.88E-09 2.55E-10 1.12E-11 4.07E-13 1.24E-14 3.16E-16 6.72E-18 1.20E-19 1.78E-21 2.22E-23 2.31E-25 2.01E-27 1.47E-29 1.00E-30
   6.50  1.003  1.20E+02 6.67E+01 4.13E+02 5.36E+00 1.36E+01 1.64E+01 1.40E+01 9.35E+00 5.04E+00 2.23E+00 8.15E-01 2.49E-01 6.36E-02 1.36E-02 2.46E-03 3.74E-04 4.79E-05 5.18E-06 4.74E-07 3.66E-08 2.39E-09 1.32E-10 6.18E-12 2.45E-13 8.20E-15 2.33E-16 5.60E-18 1.14E-19 1.97E-21 2.88E-23 3.58E-25 3.76E-27 3.35E-29
   7.00  1.041  1.65E+02 9.08E+01 5.83E+02 6.80E+00 1.75E+01 2.15E+01 1.91E+01 1.33E+01 7.58E+00 3.58E+00 1.42E+00 4.74E-01 1.34E-01 3.22E-02 6.58E-03 1.15E-03 1.70E-04 2.15E-05 2.33E-06 2.16E-07 1.71E-08 1.16E-09 6.70E-11 3.32E-12 1.41E-13 5.14E-15 1.60E-16 4.28E-18 9.80E-20 1.92E-21 3.24E-23 4.67E-25 5.77E-27
   7.50  1.078  2.27E+02 1.24E+02 8.21E+02 8.68E+00 2.26E+01 2.83E+01 2.58E+01 1.87E+01 1.12E+01 5.62E+00 2.39E+00 8.62E-01 2.66E-01 7.06E-02 1.61E-02 3.15E-03 5.31E-04 7.71E-05 9.68E-06 1.05E-06 9.80E-08 7.92E-09 5.53E-10 3.34E-11 1.75E-12 7.89E-14 3.08E-15 1.04E-16 3.05E-18 7.74E-20 1.70E-21 3.22E-23 5.30E-25
   8.00  1.113  3.11E+02 1.69E+02 1.15E+03 1.11E+01 2.92E+01 3.72E+01 3.48E+01 2.62E+01 1.63E+01 8.63E+00 3.89E+00 1.51E+00 5.04E-01 1.45E-01 3.64E-02 7.91E-03 1.49E-03 2.45E-04 3.50E-05 4.35E-06 4.71E-07 4.45E-08 3.66E-09 2.63E-10 1.65E-11 9.00E-13 4.29E-14 1.79E-15 6.49E-17 2.06E-18 5.70E-20 1.38E-21 2.91E-23
   8.50  1.147  4.26E+02 2.30E+02 1.62E+03 1.43E+01 3.78E+01 4.89E+01 4.68E+01 3.63E+01 2.36E+01 1.30E+01 6.20E+00 2.55E+00 9.14E-01 2.85E-01 7.76E-02 1.85E-02 3.85E-03 7.03E-04 1.13E-04 1.58E-05 1.95E-06 2.12E-07 2.02E-08 1.69E-09 1.24E-10 8.02E-12 4.56E-13 2.28E-14 1.00E-15 3.89E-17 1.32E-18 3.97E-20 1.05E-21
   9.00  1.181  5.82E+02 3.13E+02 2.27E+03 1.84E+01 4.91E+01 6.44E+01 6.29E+01 5.01E+01 3.37E+01 1.94E+01 9.68E+00 4.21E+00 1.60E+00 5.35E-01 1.57E-01 4.06E-02 9.25E-03 1.86E-03 3.30E-04 5.17E-05 7.16E-06 8.78E-07 9.52E-08 9.13E-09 7.75E-10 5.82E-11 3.88E-12 2.28E-13 1.19E-14 5.51E-16 2.26E-17 8.19E-19 2.63E-20
   9.50  1.213  7.95E+02 4.26E+02 3.17E+03 2.38E+01 6.39E+01 8.48E+01 8.44E+01 6.89E+01 4.77E+01 2.85E+01 1.49E+01 6.79E+00 2.73E+00 9.70E-01 3.04E-01 8.47E-02 2.09E-02 4.57E-03 8.90E-04 1.54E-04 2.37E-05 3.24E-06 3.95E-07 4.28E-08 4.13E-09 3.55E-10 2.72E-11 1.86E-12 1.13E-13 6.13E-15 2.96E-16 1.28E-17 4.90E-19
  10.00  1.244  1.09E+03 5.80E+02 4.42E+03 3.09E+01 8.33E+01 1.12E+02 1.13E+02 9.45E+01 6.73E+01 4.16E+01 2.25E+01 1.08E+01 4.54E+00 1.70E+00 5.69E-01 1.69E-01 4.48E-02 1.06E-02 2.24E-03 4.24E-04 7.16E-05 1.08E-05 1.46E-06 1.77E-07 1.92E-08 1.87E-09 1.63E-10 1.27E-11 8.85E-13 5.54E-14 3.11E-15 1.56E-16 7.05E-18
  11.00  1.305  2.16E+03 1.08E+03 8.60E+03 5.23E+01 1.42E+02 1.95E+02 2.03E+02 1.76E+02 1.31E+02 8.61E+01 4.99E+01 2.57E+01 1.18E+01 4.89E+00 1.81E+00 6.05E-01 1.82E-01 4.91E-02 1.20E-02 2.64E-03 5.26E-04 9.44E-05 1.53E-05 2.25E-06 2.98E-07 3.58E-08 3.88E-09 3.81E-10 3.38E-11 2.72E-12 1.98E-13 1.30E-14 7.75E-16
  12.00  1.363  4.16E+03 2.00E+03 1.66E+04 8.93E+01 2.45E+02 3.40E+02 3.63E+02 3.25E+02 2.53E+02 1.74E+02 1.06E+02 5.85E+01 2.90E+01 1.30E+01 5.25E+00 1.93E+00 6.43E-01 1.95E-01 5.36E-02 1.34E-02 3.06E-03 6.36E-04 1.20E-04 2.07E-05 3.25E-06 4.65E-07 6.07E-08 7.23E-09 7.84E-10 7.77E-11 7.01E-12 5.78E-13 4.34E-14
  13.00  1.419  7.87E+03 3.71E+03 3.21E+04 1.53E+02 4.23E+02 5.97E+02 6.50E+02 5.98E+02 4.81E+02 3.44E+02 2.21E+02 1.28E+02 6.77E+01 3.24E+01 1.41E+01 5.64E+00 2.05E+00 6.84E-01 2.09E-01 5.83E-02 1.49E-02 3.50E-03 7.54E-04 1.49E-04 2.70E-05 4.48E-06 6.85E-07 9.60E-08 1.23E-08 1.46E-09 1.58E-10 1.58E-11 1.45E-12
  14.00  1.473  1.47E+04 6.88E+03 6.18E+04 2.65E+02 7.35E+02 1.05E+03 1.16E+03 1.09E+03 9.07E+02 6.72E+02 4.50E+02 2.74E+02 1.52E+02 7.72E+01 3.60E+01 1.54E+01 6.05E+00 2.19E+00 7.28E-01 2.23E-01 6.32E-02 1.65E-02 3.96E-03 8.80E-04 1.80E-04 3.41E-05 5.96E-06 9.62E-07 1.43E-07 1.97E-08 2.51E-09 2.95E-10 3.20E-11
  15.00  1.524  2.75E+04 1.28E+04 1.19E+05 4.59E+02 1.28E+03 1.85E+03 2.08E+03 2.00E+03 1.70E+03 1.30E+03 9.01E+02 5.71E+02 3.32E+02 1.77E+02 8.73E+01 3.97E+01 1.67E+01 6.48E+00 2.33E+00 7.75E-01 2.39E-01 6.83E-02 1.81E-02 4.45E-03 1.01E-03 2.15E-04 4.22E-05 7.69E-06 1.30E-06 2.04E-07 2.98E-08 4.04E-09 5.09E-10
  16.00  1.574  5.12E+04 2.37E+04 2.27E+05 8.00E+02 2.24E+03 3.26E+03 3.72E+03 3.64E+03 3.17E+03 2.48E+03 1.78E+03 1.17E+03 7.07E+02 3.95E+02 2.04E+02 9.80E+01 4.36E+01 1.80E+01 6.93E+00 2.48E+00 8.25E-01 2.55E-01 7.37E-02 1.98E-02 4.96E-03 1.16E-03 2.52E-04 5.12E-05 9.68E-06 1.71E-06 2.81E-07 4.32E-08 6.19E-09
  17.00  1.623  9.51E+04 4.39E+04 4.34E+05 1.40E+03 3.94E+03 5.77E+03 6.66E+03 6.63E+03 5.87E+03 4.72E+03 3.47E+03 2.36E+03 1.48E+03 8.59E+02 4.64E+02 2.33E+02 1.09E+02 4.78E+01 1.95E+01 7.42E+00 2.64E+00 8.78E-01 2.73E-01 7.94E-02 2.16E-02 5.50E-03 1.31E-03 2.93E-04 6.11E-05 1.20E-05 2.19E-06 3.76E-07 6.04E-08
  18.00  1.670  1.77E+05 8.15E+04 8.29E+05 2.46E+03 6.93E+03 1.02E+04 1.19E+04 1.20E+04 1.09E+04 8.92E+03 6.73E+03 4.69E+03 3.04E+03 1.83E+03 1.03E+03 5.38E+02 2.64E+02 1.21E+02 5.21E+01 2.10E+01 7.93E+00 2.81E+00 9.35E-01 2.92E-01 8.55E-02 2.35E-02 6.08E-03 1.48E-03 3.36E-04 7.21E-05 1.45E-05 2.75E-06 4.89E-07
  19.00  1.715  3.28E+05 1.51E+05 1.57E+06 4.35E+03 1.23E+04 1.83E+04 2.15E+04 2.19E+04 2.00E+04 1.67E+04 1.29E+04 9.17E+03 6.08E+03 3.76E+03 2.18E+03 1.18E+03 6.00E+02 2.86E+02 1.28E+02 5.40E+01 2.14E+01 7.96E+00 2.79E+00 9.19E-01 2.85E-01 8.34E-02 2.29E-02 5.95E-03 1.45E-03 3.35E-04 7.26E-05 1.48E-05 2.86E-06
  20.00  1.760  6.04E+05 2.77E+05 2.93E+06 7.71E+03 2.19E+04 3.26E+04 3.85E+04 3.96E+04 3.65E+04 3.08E+04 2.40E+04 1.74E+04 1.17E+04 7.40E+03 4.37E+03 2.42E+03 1.26E+03 6.18E+02 2.85E+02 1.24E+02 5.05E+01 1.95E+01 7.07E+00 2.42E+00 7.81E-01 2.38E-01 6.84E-02 1.86E-02 4.75E-03 1.15E-03 2.62E-04 5.65E-05 1.15E-05
  22.50  1.867  3.57E+06 1.19E+06 1.30E+07 3.07E+04 8.73E+04 1.31E+05 1.57E+05 1.64E+05 1.54E+05 1.34E+05 1.07E+05 8.00E+04 5.60E+04 3.68E+04 2.27E+04 1.32E+04 7.25E+03 3.76E+03 1.84E+03 8.52E+02 3.73E+02 1.54E+02 6.05E+01 2.25E+01 7.90E+00 2.63E+00 8.29E-01 2.48E-01 7.02E-02 1.88E-02 4.80E-03 1.16E-03 2.65E-04
  25.00  1.968  1.54E+07 4.72E+06 5.36E+07 1.14E+05 3.27E+05 4.94E+05 5.97E+05 6.32E+05 6.05E+05 5.34E+05 4.38E+05 3.36E+05 2.42E+05 1.64E+05 1.05E+05 6.37E+04 3.65E+04 1.98E+04 1.02E+04 4.98E+03 2.30E+03 1.01E+03 4.23E+02 1.68E+02 6.31E+01 2.26E+01 7.69E+00 2.49E+00 7.65E-01 2.24E-01 6.23E-02 1.65E-02 4.15E-03
  30.00  2.156  3.26E+08 6.21E+07 7.45E+08 1.35E+06 3.87E+06 5.92E+06 7.27E+06 7.85E+06 7.71E+06 7.01E+06 5.96E+06 4.76E+06 3.59E+06 2.57E+06 1.74E+06 1.12E+06 6.86E+05 4.00E+05 2.22E+05 1.18E+05 5.93E+04 2.86E+04 1.31E+04 5.77E+03 2.42E+03 9.70E+02 3.71E+02 1.36E+02 4.74E+01 1.58E+01 5.06E+00 1.54E+00 4.51E-01
  40.00  2.489  6.13E+10 6.10E+09 7.96E+10 1.12E+08 3.24E+08 5.01E+08 6.28E+08 6.97E+08 7.08E+08 6.71E+08 5.98E+08 5.05E+08 4.05E+08 3.09E+08 2.26E+08 1.58E+08 1.05E+08 6.75E+07 4.15E+07 2.45E+07 1.39E+07 7.55E+06 3.95E+06 1.99E+06 9.60E+05 4.46E+05 2.00E+05 8.58E+04 3.55E+04 1.41E+04 5.42E+03 2.00E+03 7.11E+02
  50.00  2.783  3.53E+12 3.47E+11 4.82E+12 5.61E+09 1.63E+10 2.54E+10 3.23E+10 3.65E+10 3.79E+10 3.68E+10 3.39E+10 2.96E+10 2.47E+10 1.97E+10 1.51E+10 1.11E+10 7.86E+09 5.36E+09 3.52E+09 2.23E+09 1.36E+09 8.00E+08 4.55E+08 2.49E+08 1.32E+08 6.77E+07 3.35E+07 1.60E+07 7.38E+06 3.29E+06 1.42E+06 5.93E+05 2.39E+05
  60.00  3.048  1.37E+14 1.33E+13 1.95E+14 1.95E+11 5.67E+11 8.92E+11 1.14E+12 1.31E+12 1.38E+12 1.37E+12 1.28E+12 1.15E+12 9.86E+11 8.12E+11 6.44E+11 4.92E+11 3.63E+11 2.58E+11 1.78E+11 1.18E+11 7.60E+10 4.73E+10 2.86E+10 1.67E+10 9.44E+09 5.17E+09 2.75E+09 1.42E+09 7.07E+08 3.42E+08 1.61E+08 7.31E+07 3.23E+07
  70.00  3.293  3.93E+15 3.80E+14 5.79E+15 5.11E+12 1.49E+13 2.36E+13 3.04E+13 3.51E+13 3.75E+13 3.77E+13 3.60E+13 3.29E+13 2.88E+13 2.43E+13 1.98E+13 1.55E+13 1.18E+13 8.69E+12 6.19E+12 4.28E+12 2.87E+12 1.86E+12 1.18E+12 7.20E+11 4.28E+11 2.47E+11 1.39E+11 7.56E+10 4.00E+10 2.06E+10 1.03E+10 5.02E+09 2.37E+09
  80.00  3.520  8.97E+16 8.58E+15 1.36E+17 1.08E+14 3.15E+14 4.99E+14 6.47E+14 7.53E+14 8.11E+14 8.24E+14 7.98E+14 7.39E+14 6.59E+14 5.66E+14 4.70E+14 3.78E+14 2.95E+14 2.22E+14 1.63E+14 1.16E+14 8.03E+13 5.40E+13 3.53E+13 2.24E+13 1.39E+13 8.35E+12 4.89E+12 2.79E+12 1.55E+12 8.37E+11 4.41E+11 2.26E+11 1.13E+11
  90.00  3.733  1.69E+18 1.60E+17 2.61E+18 1.89E+15 5.53E+15 8.79E+15 1.15E+16 1.34E+16 1.46E+16 1.49E+16 1.46E+16 1.37E+16 1.24E+16 1.08E+16 9.13E+15 7.48E+15 5.94E+15 4.59E+15 3.44E+15 2.51E+15 1.78E+15 1.23E+15 8.29E+14 5.43E+14 3.47E+14 2.16E+14 1.31E+14 7.75E+13 4.47E+13 2.51E+13 1.38E+13 7.38E+12 3.85E+12
 100.00  3.935  2.72E+19 2.56E+18 4.29E+19 2.85E+16 8.35E+16 1.33E+17 1.74E+17 2.05E+17 2.24E+17 2.31E+17 2.28E+17 2.17E+17 1.98E+17 1.75E+17 1.50E+17 1.25E+17 1.01E+17 7.91E+16 6.05E+16 4.51E+16 3.27E+16 2.31E+16 1.59E+16 1.07E+16 7.04E+15 4.51E+15 2.82E+15 1.72E+15 1.02E+15 5.95E+14 3.38E+14 1.87E+14 1.01E+14
 110.00  4.128  3.83E+20 3.56E+19 6.12E+20 3.77E+17 1.11E+18 1.77E+18 2.32E+18 2.74E+18 3.02E+18 3.14E+18 3.12E+18 2.98E+18 2.75E+18 2.46E+18 2.13E+18 1.80E+18 1.47E+18 1.18E+18 9.14E+17 6.93E+17 5.12E+17 3.69E+17 2.60E+17 1.79E+17 1.20E+17 7.87E+16 5.04E+16 3.16E+16 1.93E+16 1.16E+16 6.77E+15 3.87E+15 2.16E+15
 120.00  4.311  4.80E+21 4.41E+20 7.76E+21 4.47E+18 1.31E+19 2.10E+19 2.77E+19 3.28E+19 3.62E+19 3.79E+19 3.80E+19 3.66E+19 3.41E+19 3.07E+19 2.69E+19 2.29E+19 1.90E+19 1.54E+19 1.21E+19 9.33E+18 7.01E+18 5.14E+18 3.69E+18 2.58E+18 1.77E+18 1.18E+18 7.76E+17 4.97E+17 3.12E+17 1.91E+17 1.15E+17 6.73E+16 3.87E+16
 130.00  4.487  5.42E+22 4.94E+21 8.87E+22 4.79E+19 1.41E+20 2.26E+20 2.99E+20 3.55E+20 3.94E+20 4.14E+20 4.17E+20 4.04E+20 3.79E+20 3.45E+20 3.05E+20 2.63E+20 2.20E+20 1.80E+20 1.44E+20 1.12E+20 8.55E+19 6.36E+19 4.63E+19 3.30E+19 2.30E+19 1.57E+19 1.05E+19 6.85E+18 4.38E+18 2.75E+18 1.68E+18 1.01E+18 5.96E+17
 140.00  4.656  5.59E+23 5.05E+22 9.24E+23 4.72E+20 1.39E+21 2.23E+21 2.95E+21 3.52E+21 3.92E+21 4.14E+21 4.19E+21 4.09E+21 3.86E+21 3.54E+21 3.15E+21 2.74E+21 2.32E+21 1.92E+21 1.55E+21 1.22E+21 9.41E+20 7.10E+20 5.24E+20 3.79E+20 2.68E+20 1.86E+20 1.26E+20 8.40E+19 5.48E+19 3.50E+19 2.19E+19 1.34E+19 8.08E+18
